section,function,is_prop
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__xor__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__iadd__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__isub__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__imul__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__itruediv__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__ifloordiv__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__imod__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__ipow__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__ilshift__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__irshift__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__iand__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__ior__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__ixor__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__matmul__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__copy__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__deepcopy__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__reduce__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__setstate__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__new__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__array__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__array_wrap__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__len__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__getitem__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__setitem__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__contains__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__int__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__float__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__complex__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__str__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__repr__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__class_getitem__,False
       numpy.ndarray      ,numpy.ndarray.all,False
       numpy.ndarray      ,numpy.ndarray.any,False
       numpy.ndarray      ,numpy.ndarray.argmax,False
       numpy.ndarray      ,numpy.ndarray.argmin,False
       numpy.ndarray      ,numpy.ndarray.argpartition,False
       numpy.ndarray      ,numpy.ndarray.argsort,False
       numpy.ndarray      ,numpy.ndarray.astype,False
       numpy.ndarray      ,numpy.ndarray.byteswap,False
       numpy.ndarray      ,numpy.ndarray.choose,False
       numpy.ndarray      ,numpy.ndarray.clip,False
       numpy.ndarray      ,numpy.ndarray.compress,False
       numpy.ndarray      ,numpy.ndarray.conj,False
       numpy.ndarray      ,numpy.ndarray.conjugate,False
       numpy.ndarray      ,numpy.ndarray.copy,False
       numpy.ndarray      ,numpy.ndarray.cumprod,False
       numpy.ndarray      ,numpy.ndarray.cumsum,False
       numpy.ndarray      ,numpy.ndarray.diagonal,False
       numpy.ndarray      ,numpy.ndarray.dump,False
       numpy.ndarray      ,numpy.ndarray.dumps,False
       numpy.ndarray      ,numpy.ndarray.fill,False
       numpy.ndarray      ,numpy.ndarray.flatten,True
       numpy.ndarray      ,numpy.ndarray.getfield,False
       numpy.ndarray      ,numpy.ndarray.item,False
       numpy.ndarray      ,numpy.ndarray.itemset,False
       numpy.ndarray      ,numpy.ndarray.max,False
       numpy.ndarray      ,numpy.ndarray.mean,False
       numpy.ndarray      ,numpy.ndarray.min,False
       numpy.ndarray      ,numpy.ndarray.newbyteorder,False
       numpy.ndarray      ,numpy.ndarray.nonzero,False
